file,team_id,player,owner,event,rank,date,pokepaste,species
628_miraidon-calyrexice.txt,I1187,frozen3times,frozen3times,Worlds 2025 Anaheim,47th,18 Aug 2025,https://pokepast.es/758a392e6c57731b,Miraidon / Calyrex-Ice / Incineroar / Grimmsnarl / Tornadus / Urshifu-Rapid-Strike
629_miraidon-lunala.txt,I1211,Ko Tsukide,huyubare_poke,Worlds 2025 Anaheim,5th,18 Aug 2025,https://pokepast.es/795b7bfb5ebc3a5b,Miraidon / Lunala / Whimsicott / Urshifu-Rapid-Strike / Incineroar / Ursaluna
630_calyrexice-lunala.txt,I1190,johnnychiou36,johnnychiou36,Worlds 2025 Anaheim,35th,18 Aug 2025,https://pokepast.es/7c8ab46f9370695b,Calyrex-Ice / Lunala / Smeargle / Urshifu / Torkoal / Indeedee-F
631_calyrexshadow-zamazenta.txt,I1183,Ryoma Okamoto,ryoma9901_poke,Worlds 2025 Anaheim,57th,18 Aug 2025,https://pokepast.es/7f094109c31346bd,Calyrex-Shadow / Zamazenta / Chien-Pao / Chi-Yu / Amoonguss / Tornadus
632_zamazenta-calyrexshadow.txt,I1180,Alister Sandover,vivalavlade,Worlds 2025 Anaheim,68th,18 Aug 2025,https://pokepast.es/81c1c43c38a93929,Zamazenta / Calyrex-Shadow / Incineroar / Rillaboom / Smeargle / Tornadus
633_calyrexice-lunala.txt,I1182,PsychoR&R,psyr_r,Worlds 2025 Anaheim,61st,18 Aug 2025,https://pokepast.es/82a18ee0603eeb4d,Calyrex-Ice / Lunala / Smeargle / Torkoal / Urshifu / Indeedee-F
634_koraidon-fluttermane.txt,I1169,pokemon_8989,pokemon_8989,Worlds 2025 Anaheim,165th,18 Aug 2025,https://pokepast.es/8c55baafd2d93342,Koraidon / Flutter Mane / Calyrex-Ice / Raging Bolt / Incineroar / Ogerpon-Cornerstone
635_calyrexshadow-miraidon.txt,I1171,Ze Banded,zebanded,Worlds 2025 Anaheim,134th,18 Aug 2025,https://pokepast.es/8df223f240904048,Calyrex-Shadow / Miraidon / Whimsicott / Farigiraf / Iron Hands / Chi-Yu
636_miraidon-groudon.txt,I1159,Q,q_vgc_poke0306,Worlds 2025 Anaheim,294th,18 Aug 2025,https://pokepast.es/9001d39973ec47b6,Miraidon / Groudon / Volcarona / Chien-Pao / Grimmsnarl / Incineroar
637_calyrexshadow-zamazenta.txt,I1168,Ryotaro Kimura,infp_poke,Worlds 2025 Anaheim,168th,18 Aug 2025,https://pokepast.es/927693e3ebedc4e8,Calyrex-Shadow / Zamazenta / Raging Bolt / Dragonite / Rillaboom / Torkoal
638_calyrexice-amoonguss.txt,I1186,Duh Jenn-Chau,ilike282,Worlds 2025 Anaheim,50th,18 Aug 2025,https://pokepast.es/92f6923c6ec1cdd6,Calyrex-Ice / Amoonguss / Urshifu-Rapid-Strike / Volcarona / Miraidon / Incineroar
639_miraidon-calyrexice.txt,I1157,newcon8,newcon8,Worlds 2025 Anaheim,312th,18 Aug 2025,https://pokepast.es/9c9ac76f208ae520,Miraidon / Calyrex-Ice / Incineroar / Urshifu-Rapid-Strike / Farigiraf / Landorus
640_miraidon-calyrexice.txt,I1164,VaVaVa,vavava_vgc,Worlds 2025 Anaheim,218th,18 Aug 2025,https://pokepast.es/a37382f27be1c1fe,Miraidon / Calyrex-Ice / Grimmsnarl / Incineroar / Annihilape / Ditto
641_incineroar-volcarona.txt,I1165,k4n4el,k4n4el,Worlds 2025 Anaheim,190th,19 Aug 2025,https://pokepast.es/a6da5255cf3e2597,Incineroar / Volcarona / Zamazenta / Miraidon / Chien-Pao / Dragonite
642_groudon-chiyu.txt,I1195,Justin Tang,unironicpanda,Worlds 2025 Anaheim,21st,18 Aug 2025,https://pokepast.es/ad61395b88cabd3b,Groudon / Chi-Yu / Flutter Mane / Raging Bolt / Calyrex-Ice / Jumpluff
644_calyrexice-miraidon.txt,I1174,Katsuhiko Minami,poke_minamin,Worlds 2025 Anaheim,86th,19 Aug 2025,https://pokepast.es/ba9997bef8e3dccf,Calyrex-Ice / Miraidon / Amoonguss / Incineroar / Landorus / Urshifu-Rapid-Strike
645_calyrexshadow-koraidon.txt,I1206,James Baek,JamesWBaek,Worlds 2025 Anaheim,10th,18 Aug 2025,https://pokepast.es/c02ac80fc18b0e92,Calyrex-Shadow / Koraidon / Rillaboom / Incineroar / Volcarona / Regieleki
